21-08-1977,1.285448830612052E08,-7.986345695704521E07,1.522773970118584E01,2.520063473434745E01
22-08-1977,1.298420348764958E08,-7.767490967321840E07,1.479825790448037E01,2.545892085172685E01
23-08-1977,1.311019105739720E08,-7.546437235918227E07,1.436490494036379E01,2.570967610129426E01
24-08-1977,1.323241850216188E08,-7.323249184244601E07,1.392788960471663E01,2.595299473506674E01
25-08-1977,1.335085490704406E08,-7.097990560524429E07,1.348737139472064E01,2.618899644627972E01
26-08-1977,1.346547049224513E08,-6.870724027195221E07,1.304345272560039E01,2.641780974539641E01
27-08-1977,1.357623610875060E08,-6.641511170218343E07,1.259617767512633E01,2.663955179934781E01
28-08-1977,1.368312275994648E08,-6.410412686312966E07,1.214553945067905E01,2.685430814114248E01
29-08-1977,1.378610122563758E08,-6.177488728787534E07,1.169149630863182E01,2.706211706600666E01
30-08-1977,1.388514184865544E08,-5.942799352475233E07,1.123399246563094E01,2.726296277763082E01
31-08-1977,1.398021450440620E08,-5.706404974639352E07,1.077297860171829E01,2.745677843214292E01
01-09-1977,1.407128872765628E08,-5.468366774055181E07,1.030842712511233E01,2.764345679083411E01
02-09-1977,1.415833393927082E08,-5.228746980442833E07,9.840339920060211E00,2.782286418229786E01
03-09-1977,1.424131970862311E08,-4.987609044426984E07,9.368749140740965E00,2.799485360670396E01
04-09-1977,1.432021600085686E08,-4.745017708061445E07,8.893713364744443E00,2.815927437183137E01
05-09-1977,1.439499338063904E08,-4.501039010586976E07,8.415311788888911E00,2.831597743867901E01
06-09-1977,1.446562316541091E08,-4.255740265265483E07,7.933638642960958E00,2.846481691095330E01
07-09-1977,1.453207753670695E08,-4.009190036386930E07,7.448799249516199E00,2.860564870040031E01
08-09-1977,1.459432962764164E08,-3.761458135670730E07,6.960908543574507E00,2.873832757814081E01
09-09-1977,1.465235360978316E08,-3.512615646595730E07,6.470092448399124E00,2.886270387477532E01
10-09-1977,1.470612480454510E08,-3.262734973899144E07,5.976492147999799E00,2.897862119424917E01
11-09-1977,1.475561984260289E08,-3.011889903049754E07,5.480270799501893E00,2.908591665098010E01
12-09-1977,1.480081688772719E08,-2.760155641304451E07,4.981621444725888E00,2.918442512180435E01
13-09-1977,1.484169592645440E08,-2.507608800848881E07,4.480773884601438E00,2.927398847727023E01
14-09-1977,1.487823910194851E08,-2.254327281288080E07,3.977997506324856E00,2.935446943749109E01
15-09-1977,1.491043104419869E08,-2.000390020048822E07,3.473597225391750E00,2.942576773394700E01
16-09-1977,1.493825913022450E08,-1.745876607496611E07,2.967901357903514E00,2.948783449450165E01
17-09-1977,1.496171360934463E08,-1.490866801708131E07,2.461243025521193E00,2.954068043267925E01
18-09-1977,1.498078755412460E08,-1.235440009972869E07,1.953939216521225E00,2.958437514751972E01
19-09-1977,1.499547663797587E08,-9.796748146841118E06,1.446272338704234E00,2.961903785659163E01
20-09-1977,1.500577877717693E08,-7.236486065127579E06,9.384776446580045E-01,2.964482243402968E01